metal,database,name,product,location,unit,description,categories,activity type,production amount,parameters,authors,data quality
aluminium,ecoinvent-3.10-cutoff,"aluminium around steel bi-metal wire production, 3.67 mm external diameter","aluminium around steel bi-metal wire, 3.67mm external diameter",CA-QC,meter,"This dataset represents the production of aluminium and steel bi-metal wire, which consists of the co-extrusion of aluminium and steel. The final product is usually a cast aluminium alloy layer around a carbon steel wire. The data providing manufacturing company supplies a range of wire sizes, from 2.05 to 5.19 mm of exrternal diameter. The aluminum layer thickness is at least 10% of the wire radius and approximately 25% of the cross-sectional area. The modelled product is compliant with ASTM B415 and ASTM B502 standards. This dataset represents a 3.67 mm wire since it is the size for which data were provided on a per kg basis but the dataset is parameterized to the wire external diamteter so new instances can be created for other diameters.
Image: https://db3.ecoinvent.org/images/6e6ded2f-f0ac-460c-88e2-cec258a23155
Technology:  Most used technology. Alternate technology (aluminium in powder form instead of rod) is estimatred to represent less than 10% of market.",,ordinary transforming activity,1.0,"[{'description': 'alkaline solution for bi-metal cable extrusion', 'id': '67bb49c0-ef9d-4be2-9420-bd8fab1d4c79', 'unit': 'kilogram', 'comment': 'Calculated value. Per meter value calculated from per kg data for 3.67 mm diameter wire (assumed to be diameter or mass independent) from data providing manufacturing comapny.', 'amount': 1.85517e-05, 'pedigree': {'reliability': 2, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': -10.89, 'scale': 0.034641016151377546, 'scale without pedigree': 0.02449489742783178, 'name': 'alkaline_solution_per_m'}, {'description': 'bi-metal cable loss rate', 'id': '54953e2b-a306-4f2b-b023-552cb9cab6de', 'unit': 'dimensionless', 'comment': 'Calculated value. Finished bi-metal cable loss rate. Calculated from per kg data for 3.67 mm diameter wire (assumed to be diameter or mass independent) from data providing manufacturing comapny.', 'amount': 0.0436, 'pedigree': {'reliability': 2, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': -3.13, 'scale': 0.034641016151377546, 'scale without pedigree': 0.02449489742783178, 'name': 'cable_loss'}, {'description': 'pure aluminium loss rate', 'id': '4a01e8ac-d8f2-4cd3-b987-d15792bbd558', 'unit': 'dimensionless', 'comment': 'Calculated value. Pure aluminium loss rate. Calculated from per kg data for 3.67 mm diameter wire (assumed to be diameter or mass independent) from data providing manufacturing comapny.', 'amount': 0.0664, 'pedigree': {'reliability': 2, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': -2.71, 'scale': 0.034641016151377546, 'scale without pedigree': 0.02449489742783178, 'name': 'alu_loss'}, {'description': 'steel mass fraction', 'id': '8d6d6cd3-15f0-482e-82df-9d4f6919fea8', 'unit': 'dimensionless', 'comment': 'Calculated value. Mass fraction of carbon steel in bi-metal wire, derived from the mass-to-length (in kg/m) data for the different diameters of wires manfuctured by the data providing company and aluminium (2700 kg/m3, source: http://en.wikipedia.org/wiki/Aluminium) and carbon steek (7850 kg/m3, source: http://en.wikipedia.org/wiki/Carbon_steel) densities. The aluminium thickness was determined to be 13.1% of the wire radius, to obtained the mass-to-length data (within about 0.1%), which then gives the calculated steel mass fraction.', 'amount': 0.9, 'pedigree': {'reliability': 2, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': -0.11, 'scale': 0.034641016151377546, 'scale without pedigree': 0.02449489742783178, 'name': 'steel_mass_fraction'}, {'description': 'wire diameter', 'id': 'b6f0561c-0ce6-4bec-91ac-8837661f2698', 'unit': 'mm', 'comment': 'Basic parameter used in the calculation of the exchanges.', 'amount': 3.67, 'uncertainty type': 0, 'loc': 3.67, 'name': 'wire_diameter'}, {'description': 'wire linear mass density', 'id': 'd1e086d2-aa22-460f-9f77-e0ad9a6fe783', 'unit': 'kg/m', 'comment': 'Calculated value. Power function relationship between the linear mass density (in kg/m) of the bi-metal wire and its diameter (in mm) derived from the mass-to-length data for the different diameters of wires manfuctured by the data providing company. The R² value of the regression is of 1,00.', 'amount': 0.0696629569452347, 'pedigree': {'reliability': 5, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': -2.66, 'scale': 0.2, 'scale without pedigree': 0.0, 'name': 'wire_linear_mass_density'}]","{'data entry': {'name': 'Jean-Francois Menard', 'email': 'jean-francois.menard@polymtl.ca'}, 'data generator': {'name': 'Jean-Francois Menard', 'email': 'jean-francois.menard@polymtl.ca'}}",
gold,ecoinvent-3.10-cutoff,"mine construction, gold","mine infrastructure, gold",CA,unit,"This dataset describes the production of 1 unit of gold mine infrastructure. It includes land use and buildings and machinery consumption, as in open pit and underground mining. Data corresponds to Canadian mines Campbell, Musselwhite and Porcupine, which produce gold. Porcupine Mine has underground and open pit mines, whereas Campbell and Musselwhite are underground.
[This dataset was already contained in the ecoinvent database version 2. It was not individually updated during the transfer to ecoinvent version 3. Life Cycle Impact Assessment results may still have changed, as they are affected by changes in the supply chain, i.e. in other datasets. This dataset was generated following the ecoinvent quality guidelines for version 2. It may have been subject to central changes described in the ecoinvent version 3 change report (http://www.ecoinvent.org/database/ecoinvent-version-3/reports-of-changes/), and the results of the central updates were reviewed extensively. The changes added e.g. consistent water flows and other information throughout the database. The documentation of this dataset can be found in the ecoinvent reports of version 2, which are still available via the ecoinvent website. The change report linked above covers all central changes that were made during the conversion process.]
Geography:  Land use of Canadian mine, other inputs based on rough assumptions.
Technology:  The mine is foreseen to have a lifetime of 50 years.
Time period:  Period of public environmental report",,ordinary transforming activity,1.0,[],"{'data entry': {'name': 'Matthias Tuchschmid (obsolete)', 'email': 'esu-services@ecoinvent.org'}, 'data generator': {'name': 'Matthias Tuchschmid (obsolete)', 'email': 'esu-services@ecoinvent.org'}}",
gold,ecoinvent-3.10-cutoff,"treatment of sulfidic tailings, from gold mine operation, tailings impoundment","sulfidic tailings, from gold mine operation",CA,kilogram,"This dataset represents the activity of waste disposal of sulfidic tailings, from gold mine operation in a tailings impoundment in Canada. 
Background: Tailings, a waste material produced during mineral concentration (beneficiation), often contain significant quantities of mobile toxic metals and are typically produced in large quantities. To manage these wastes, tailings are commonly stored behind dammed impoundments, known as tailings ponds. These ponds pose a significant long-term pollution risk as metals may leach out into the surrounding environment, potentially over very long timeframes.
Modelling approach: This dataset was produced using a model developed specifically for assessing the long-term emissions of tailings disposal (see Doka, 2017). The tailings disposal model is based on the modelling framework applied in existing landfill process models used in ecoinvent and is based on a top-down approach. Literature data on measurements of deposited tailings compositions (solids) and measured current concentrations in leachate (liquid) form the basis of the model and are used to characterise pollutant mobility and calculate the currently occurring rate of emissions of the landfill. Heeding chief parameters, such as hydrology, pH development and elemental chemistry, these emissions are then projected into the future. Tailings composition is based on the typical composition of tailings at gold mine sites worldwide; i.e. composition is not region-specific. Land use was calculated following the approach described by Doka (2008). Based on an assumed generic final height of a tailings impoundment of 60 m and an assumed tailings density of 2200 kg/m3, a land area of 7.58E-06 m2 is required per kilogram of sulfidic tailings. The land is assumed to be converted from unknown origin to a disposal site. After an operational phase of 30 years, spontaneous restoration of a consolidated state is assumed to be reached after one hundred years. The total occupation time is therefore 130 years and the land occupation per kilogram tailings is 9.85E-04 m2.
Waste composition (wet, in ppm): H2O 300000; O 621300; H na; C 6145; S 305.88; N 5.0454; P 192.55; B 54.583; Cl 102.61; Br 0.22894; F 772.88; I na; Ag 9.7097; As 61.447; Ba 356.57; Cd 3.9592; Co 10.634; Cr 46.594; Cu 489.41; Hg 0.40262; Mn 142.11; Mo 10.949; Ni 17.077; Pb 155.09; Sb 34.059; Se 4.2887; Sn 26.979; V 142.69; Zn 190.19; Be 1.9806; Sc 13.343; Sr 100.02; Ti 122.75; Tl 2.6154; W 9.3995; Si 39700; Fe 10240; Ca 2631.2; Al 11955; K 2187; Mg 1408.9; Na 1044.1.   //  Share of carbon in waste that is biogenic 0%.
Activity extent: The dataset includes all potential emissions to the environment and land use changes. Input exchanges of infrastructure, materials, energy, and water are not included here but are accounted for in the activity, gold mine operation.
References
Doka, G. (2008). Life Cycle Inventory data of mining waste: Emissions from sulfidic tailings disposal. Zürich, Switzerland: Doka Life Cycle Assessments.
Doka, G. (2017). A model for waste-specific and climate-specific life cycle inventories of tailings impoundments. Zürich, Switzerland: Doka Life Cycle Assessments.
Geography:  Given name of site is 'Gold deposits; Canada'. Impoundment site with mean annual temperature (MAT) of 0.874563736555142 degC, mean annual precipitation (MAP) of 943.62361678244 mm/year, mean annual actual evaporation (EAT) of 326.739677148541 mm/year, and net infiltration of 780.25377820817 mm/year (using half of natural surface evapotranspiration). 
Temperature at site can result in permafrost conditions, which slows down water flow by a factor of 0.991. 
Technology:  This is an inventory for an impoundment of copper ore beneficiation tailings waste. The following assumptions were made concerning technology: final impoundment height is 60 meters; operation phase duration is 30 years; and impoundment leachates are released into the environment untreated.
Time period:  'Data on average composition of tailings and tailings-derived leachates from literature sources published between 1994 and 2017 (mean publication date: 2009±6). Mean annual temperature and precipitation data for 1970-2000 (source: Fick and Hijmans, 2017); mean annual evapotranspiration for 1950-2000 (source: Fekete et al., 2002). Production volume based on world mine production data from the USGS Minerals Yearbook 2015. Transfer coefficients from prospective, tailings-specific model. 
References: 
Fekete, B. M., Vorosmarty, C. J. & Grabs, W. (2002). High-resolution fields of global runoff combining observed river discharge and simulated water balances. Global Biogeochemical Cycles, 16, 15-1 - 15-10.
Fick, S. E. & Hijmans, R. J. (2017). Worldclim 2: New 1-km spatial resolution climate surfaces for global land areas. International Journal of Climatology, 37, 4302-4315.'",,ordinary transforming activity,-1.0,[],"{'data entry': {'name': 'David Turner', 'email': 'david.turner@empa.ch'}, 'data generator': {'name': 'David Turner', 'email': 'david.turner@empa.ch'}}",
aluminium,ecoinvent-3.10-cutoff,"aluminium around steel bi-metal stranded cable production, 3x3.67mm external diameter wire","aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire",CA-QC,meter,"This dataset represents the production of an aluminium around steel bi-metal stranded cable. Typically, 3, 7, 19 or 37 aluminium around steel bi-metal wires are stranded together.
This dataset represents a 3 x 3.67 mm external diameter wire cable but the dataset is parameterized to the number and diameter of wires so new instances can be created for other numbers of wires.
Image: https://db3.ecoinvent.org/images/85f21c64-01b2-4400-9a7f-c1360ce3f767
Geography:  Data from one cable manufacturing company in the region of Québec.",,ordinary transforming activity,1.0,"[{'description': 'Quebec gross domestic product 2011', 'id': '4c4da3c9-0eac-460f-905f-635c077f18b0', 'unit': 'USD(2011)', 'comment': 'Quebec Gross domestic product for 2011, expressed in 2011 USD. Source: Institut de la statistique du Québec. Converted from CAD to USD using a yearly average exchange rate of 0.989 CAD/USD (Source: bank of Canada)', 'amount': 311000000000.0, 'pedigree': {'reliability': 1, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': 31.88, 'scale': 0.02449489742783178, 'scale without pedigree': 0.02449489742783178, 'name': 'quebecGDP2011'}, {'description': 'number of wire in cable', 'id': 'c775715b-1300-4933-8a7e-ba56d1a63df2', 'unit': 'dimensionless', 'comment': 'Basic parameter used in the calculation of the exchanges. Number of wires in bi-metal cable. Typically 3, 7, 19 or 37.', 'amount': 3.0, 'uncertainty type': 0, 'loc': 3.0, 'name': 'nb_of_wires'}, {'description': 'wire diameter', 'id': 'b6f0561c-0ce6-4bec-91ac-8837661f2698', 'unit': 'mm', 'comment': 'Basic parameter used in the calculation of the reference flow exchange properties.', 'amount': 3.67, 'uncertainty type': 0, 'loc': 3.67, 'name': 'wire_diameter'}, {'description': 'wire linear mass density', 'id': 'd1e086d2-aa22-460f-9f77-e0ad9a6fe783', 'unit': 'kg/m', 'comment': 'Calculated value. Power function relationship between the linear mass density (in kg/m) of the bi-metal wire and its diameter (in mm) derived from the mass-to-length data for the different diameters of wires manfuctured by the data providing company. The R² value of the regression is of 1,00. Taken from ecoinvent v3.2 dataset ""aluminium around steel bi-metal wire production, 3.67 mm external diameter, CA-QC 2012"". Used in the calculation of the reference flow exchange properties.', 'amount': 0.0696629569452347, 'pedigree': {'reliability': 5, 'completeness': 5, 'temporal correlation': 5, 'geographical correlation': 5, 'further technological correlation': 3}, 'uncertainty type': 2, 'loc': -2.67, 'scale': 0.31304951684997057, 'scale without pedigree': 0.0, 'name': 'wire_linear_mass_density'}, {'description': 'world gross domestic product 2011', 'id': 'ec57464e-4c88-4983-a8d1-6f9566c63756', 'unit': 'USD(2011)', 'comment': 'World Gross domestic product for 2011, expressed in 2011 USD. Source: World Bank', 'amount': 70000000000000.0, 'pedigree': {'reliability': 1, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': 26.46, 'scale': 0.02449489742783178, 'scale without pedigree': 0.02449489742783178, 'name': 'worldGDP2011'}]","{'data entry': {'name': 'Jean-Francois Menard', 'email': 'jean-francois.menard@polymtl.ca'}, 'data generator': {'name': 'Jean-Francois Menard', 'email': 'jean-francois.menard@polymtl.ca'}}",
gold,ecoinvent-3.10-cutoff,"market for sulfidic tailings, from gold mine operation","sulfidic tailings, from gold mine operation",CA,kilogram,"This is a market activity, representing a treatment mix. In the case of products needing treatment, market mixes are supplied by the activities treating the product in the geography defined by the market, and they supply the activities needing to treat the product, as they have generated it as a by-product in the Undefined processes (present as a negative input in system models). Transport to the treating facility or losses are also accounted in this type of markets, when relevant.
This is the market for  'sulfidic tailings, from gold mine operation', in the geography of Canada.
This dataset represents the conveyance of 1 kg of sulfidic tailings generated in a gold mine, from the location in the mine where they are produced to the tailings impoundment.",,market activity,-1.0,[],"{'data entry': {'name': 'David FitzGerald', 'email': 'fitzgerald@ecoinvent.org'}, 'data generator': {'name': 'David FitzGerald', 'email': 'fitzgerald@ecoinvent.org'}}",
nickel,ecoinvent-3.10-cutoff,"nickel mine operation and benefication to nickel concentrate, 16% Ni","nickel concentrate, 16% Ni",CA-QC,kilogram,"This dataset represents the production of 1 kg of nickel ore, beneficiated to 16% Ni in Quebec (Canada) for the year 2010. 
This dataset is a disagreggation of the existing dataset ''nickel mine operation, sulfidic ore'', which contains smelting and refining on top of the mine operation. The disagreggation was done  because primary data was available for nickel mine operation but not for subsequent stages of smelting and refining. Thus, the production volume of this dataset is already included in the global dataset ''nickel mine operation, sulfidic ore, GLO''. Until data on smelting and refining become available, this dataset cannot be used as part of a life cycle assessment.
The concentrate produced is composed of 16% Ni; 4% Cu; 0.24% Co; 0.61 g/t Au; 10.84 g/t Ag; 2.8 g/t Pt; 9.68 g/t Pd; 0.95 g/t Rh.
The sulfidic nickel ore is extracted in an underground mine, where 7.21 kg of ore are extracted per kg of concentrate produced. The recovery rate (metal in ore/metal in the concentrate) is 90% for Ni and 82% for Cu. 
The  concentrate produced is sent to a smelter located in Ontario (Canada) and to a refinery located in Norway (both excluded).
No specific data were available except for some emissions to water and air publicly available. Most of the data were taken from the Environmental Impact Assessment of the only Nickel mine in Quebec dated from 1993 and converted with a conversion factor (ore mined in 2010/expected amount of ore according to ElA). Some extrapolations were made based on ecoinvent datasets.
Geography:  This module represents the production of nickel concentrate in the Québec region.
Technology:  Mining is done underground, followed by beneficiation. Overburden (2.67 kg/kg concentrate) and tailings (6.99 kg/kg concentrate) are disposed on the mining site. 
Time period:  The dataset represent the activity in 2010. Uncertainty has been adjusted accordingly.",,ordinary transforming activity,1.0,"[{'description': 'fraction, process water, to air', 'id': 'daadf2d4-7bbb-4f69-8ab5-58df4c1685eb', 'unit': 'dimensionless', 'comment': 'Literature value. In case when no industry/process specific data are available, default evaporation fraction value is used. This value is 15% and is based on literature (Statistics Canada, 2007 & Shaffer, K.H., 2008, Consumptive water use in the Great Lakes Basin, USGS & Shiklomanov, 2003, World Water Resources at the Beginning of the 21st Century) and has been approved by an expert.', 'amount': 0.15, 'pedigree': {'reliability': 4, 'completeness': 4, 'temporal correlation': 3, 'geographical correlation': 2, 'further technological correlation': 4}, 'uncertainty type': 2, 'loc': -1.89711998488588, 'scale': 0.30335622624235026, 'scale without pedigree': 0.2, 'name': 'fraction_PW_to_air'}]","{'data entry': {'name': 'Catherine Reid', 'email': 'catherine-2.reid@polymtl.ca'}, 'data generator': {'name': 'Catherine Reid', 'email': 'catherine-2.reid@polymtl.ca'}}",
aluminium,ecoinvent-3.10-cutoff,"electricity production, hydro, aluminium industry","electricity, high voltage, aluminium industry",CA,kilowatt hour,"Geography:  Canada
Time period:  Production volume updated with 2016 data from AAC",,ordinary transforming activity,1.0,"[{'description': 'share of pump storage BC', 'id': '8fe7a8a8-34e6-4ed9-9624-6a1f44830b83', 'comment': 'Calculated amount (see general comments).', 'amount': 8.658e-07, 'pedigree': {'reliability': 3, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 2}, 'uncertainty type': 2, 'loc': -13.96, 'scale': 0.0565685424949238, 'scale without pedigree': 0.02449489742783178, 'name': 'PS_BC'}, {'description': 'share of reservoir BC', 'id': 'c0a71bb1-58f4-470d-8911-c896a5b957f2', 'comment': 'Calculated amount (see general comments).', 'amount': 0.06044, 'pedigree': {'reliability': 3, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 2}, 'uncertainty type': 2, 'loc': -2.806, 'scale': 0.0565685424949238, 'scale without pedigree': 0.02449489742783178, 'name': 'ResA_BC'}, {'description': 'share of reservoir Quebec', 'id': '0b215b13-0e53-4607-b389-48013ca320c4', 'comment': 'Calculated amount (see general comments).', 'amount': 0.5899, 'pedigree': {'reliability': 3, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 2}, 'uncertainty type': 2, 'loc': -0.5278, 'scale': 0.0565685424949238, 'scale without pedigree': 0.02449489742783178, 'name': 'ResNA_QC'}, {'description': 'share of run of river BC', 'id': 'c3f52d8d-8421-4f9b-b52e-a12b8ad97334', 'comment': 'Calculated amount (see general comments).', 'amount': 0.003181, 'pedigree': {'reliability': 3, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 2}, 'uncertainty type': 2, 'loc': -5.751, 'scale': 0.0565685424949238, 'scale without pedigree': 0.02449489742783178, 'name': 'RoR_BC'}, {'description': 'share of run of river Quebec', 'id': '9a3f118e-002e-4f53-8cca-c10362b12a2d', 'comment': 'Calculated amount (see general comments).', 'amount': 0.3465, 'pedigree': {'reliability': 3, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 2}, 'uncertainty type': 2, 'loc': -1.06, 'scale': 0.0565685424949238, 'scale without pedigree': 0.02449489742783178, 'name': 'RoR_QC'}]","{'data entry': {'name': 'François Saunier', 'email': 'francois.saunier@polymtl.ca'}, 'data generator': {'name': 'François Saunier', 'email': 'francois.saunier@polymtl.ca'}}",
aluminium,ecoinvent-3.10-cutoff,"aluminium alloy production, AlLi","copper, cathode",CA-QC,kilogram,"This dataset represents the manufacturing of aluminium alloyed billets and ingots. Aluminum scrap of the same alloy is used as the main aluminium bearing input. Aluminium scrap from external source accounts for 60% of secondary aluminium in final product, while 40% of secondary aluminium is from internal sources (remelting of internal scrap in closed loop - accounted in the primary aluminium input). Primary aluminium slab is used as aluminium input up to 30%. Aluminium losses, through blast furnace slag, are accounted for. Aluminum based alloys, metal powder and pure metals are added to obtain desired alloy composition. Final product is cast by direct chilled vertical casting. This alloy is mainly used in the aeronautic sector.  This dataset is based on data from the one facility in Quebec.",,ordinary transforming activity,1.0,"[{'description': 'electricity process and auxiliairies', 'id': '1798980a-f06c-4e91-a79b-c7af63a54356', 'unit': 'kilowatt hour', 'comment': 'Measured value. Electricity requirements for process and auxiliairies (heating, maintenance of furnace when no production, etc.).', 'amount': 2.9707, 'pedigree': {'reliability': 2, 'completeness': 2, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': 1.09, 'scale': 0.03605551275463989, 'scale without pedigree': 0.02449489742783178, 'name': 'kWh_process'}, {'description': 'electricity wastewater treatment', 'id': 'd262a2cd-afb0-49f9-b0e3-7c0c258335bf', 'unit': 'kilowatt hour', 'comment': 'Measured value. Electricity input for insitu wastewater treatment. Based on total water used in process. Note that around 42% of total water used in the process is treated, cooled and reused in closed loop. ', 'amount': 0.0843, 'pedigree': {'reliability': 2, 'completeness': 2, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': -2.47, 'scale': 0.03605551275463989, 'scale without pedigree': 0.02449489742783178, 'name': 'kWh_ww'}]","{'data entry': {'name': 'Marylène Dussault', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': 'Marylène Dussault', 'email': 'support@ecoinvent.org'}}",
aluminium,ecoinvent-3.10-cutoff,"market for electricity, high voltage, aluminium industry","electricity, high voltage, aluminium industry",CA,kilowatt hour,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level for the North American primary aluminium-industry, i.e. used for primary aluminium production. Aluminium industry specific markets are needed in an LCI database because primary aluminium production is very energy intensive, and hence the location of production plants is often determined by access to large amounts of cheap electricity, which often results in an electricity mix that is different from the general grid mix of the countries where the production plants are located.
[This dataset is meant to replace the following datasets:
 - market for electricity, high voltage, aluminium industry, CA-QC, 2012 - 2015 (1280d270-c041-479a-ac3d-086a4b7b1d34)
 - market for electricity, high voltage, aluminium industry, IAI Area, North America, without Quebec, 2012 - 2015 (3dc02af9-dc93-4fcd-8c70-1c371b627138)]
[This dataset is meant to replace the following datasets:
 - market for electricity, high voltage, aluminium industry, RNA, 2015 - 2016 (95049cfc-9cc4-40fe-9890-2d6b31f7fbd8)]
Geography:  North America
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines.",,market activity,1.0,[],"{'data entry': {'name': 'François Saunier', 'email': 'francois.saunier@polymtl.ca'}, 'data generator': {'name': 'François Saunier', 'email': 'francois.saunier@polymtl.ca'}}",
aluminium,ecoinvent-3.10-cutoff,"aluminium production, primary, liquid, prebake","aluminium, primary, liquid",CA,kilogram,Geography:  Data mostly from global surveys by IAI.,,ordinary transforming activity,1.0,[],"{'data entry': {'name': 'François Saunier', 'email': 'francois.saunier@polymtl.ca'}, 'data generator': {'name': 'François Saunier', 'email': 'francois.saunier@polymtl.ca'}}",
aluminium,ecoinvent-3.10-cutoff,"aluminium alloy production, AlLi","aluminium alloy, AlLi",CA-QC,kilogram,"This dataset represents the manufacturing of aluminium alloyed billets and ingots. Aluminum scrap of the same alloy is used as the main aluminium bearing input. Aluminium scrap from external source accounts for 60% of secondary aluminium in final product, while 40% of secondary aluminium is from internal sources (remelting of internal scrap in closed loop - accounted in the primary aluminium input). Primary aluminium slab is used as aluminium input up to 30%. Aluminium losses, through blast furnace slag, are accounted for. Aluminum based alloys, metal powder and pure metals are added to obtain desired alloy composition. Final product is cast by direct chilled vertical casting. This alloy is mainly used in the aeronautic sector.  This dataset is based on data from the one facility in Quebec.",,ordinary transforming activity,1.0,"[{'description': 'electricity process and auxiliairies', 'id': '1798980a-f06c-4e91-a79b-c7af63a54356', 'unit': 'kilowatt hour', 'comment': 'Measured value. Electricity requirements for process and auxiliairies (heating, maintenance of furnace when no production, etc.).', 'amount': 2.9707, 'pedigree': {'reliability': 2, 'completeness': 2, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': 1.09, 'scale': 0.03605551275463989, 'scale without pedigree': 0.02449489742783178, 'name': 'kWh_process'}, {'description': 'electricity wastewater treatment', 'id': 'd262a2cd-afb0-49f9-b0e3-7c0c258335bf', 'unit': 'kilowatt hour', 'comment': 'Measured value. Electricity input for insitu wastewater treatment. Based on total water used in process. Note that around 42% of total water used in the process is treated, cooled and reused in closed loop. ', 'amount': 0.0843, 'pedigree': {'reliability': 2, 'completeness': 2, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': -2.47, 'scale': 0.03605551275463989, 'scale without pedigree': 0.02449489742783178, 'name': 'kWh_ww'}]","{'data entry': {'name': 'Marylène Dussault', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': 'Marylène Dussault', 'email': 'support@ecoinvent.org'}}",
aluminium,ecoinvent-3.10-cutoff,"aluminium production, primary, cast alloy slab from continuous casting","aluminium, primary, cast alloy slab from continuous casting",CA-QC,kilogram,"This dataset represents the manufacturing of aluminium cast alloy by direct chilled horizontal continuous casting from primary liquid aluminium. This process can also be used for production of bus bar, anode beams and anode studs for aluminium smelters or substation. Hot liquid primary aluminium transported by truck using crucibles is used as the main aluminium bearing input (90-95%). The liquid aluminium is pre-treated in reverberatory furnace were pre-heated aluminium scrap, aluminum based alloy additives and pure metals are added to obtain desired alloy composition. Scrap aluminium is used as aluminium input up to 5%. Alloy composition represented in this dataset is mainly cast alloy product from the 1xx.x series (minimum 99% aluminium), but alloy composition that can reach up to 5% of final alloy. Molten aluminium alloy is degassed with argon and cast by direct chilled horizontal continuous casting. Final product is cut to the desired length. Duration of casting varies from 2 Tons per hour to 6 Tons per hour depending on end product desired. Wastewater from chilling is treated on site by diffused air filtration and is mainly recirculated in closed-loop. The operations covered by this dataset include: pre-treatment of hot metal, recovery and handling of internal process scrap, batching, alloying, metal treatment, casting operations, sawing and cooling activities, maintenance and repair of plant and equipment, treatment of process air, liquids and solids.  ",,ordinary transforming activity,1.0,"[{'description': 'electricity process and auxiliairies', 'id': '1798980a-f06c-4e91-a79b-c7af63a54356', 'unit': 'kilowatt hour', 'comment': 'Measured value. Electricity requirements for process and auxiliairies (heating, maintenance of furnace when no production, etc.).', 'amount': 0.264, 'pedigree': {'reliability': 2, 'completeness': 2, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': -1.33, 'scale': 0.03605551275463989, 'scale without pedigree': 0.02449489742783178, 'name': 'kWh_process'}, {'description': 'electricity wastewater treatment', 'id': 'd262a2cd-afb0-49f9-b0e3-7c0c258335bf', 'unit': 'kilowatt hour', 'comment': 'Measured value. Electricity input for insitu wastewater treatment. Based on total water used in process. Note that around 42% of total water used in the process is treated, cooled and reused in closed loop. ', 'amount': 0.05, 'pedigree': {'reliability': 2, 'completeness': 2, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}, 'uncertainty type': 2, 'loc': -3.0, 'scale': 0.03605551275463989, 'scale without pedigree': 0.02449489742783178, 'name': 'kWh_ww'}]","{'data entry': {'name': 'Marylène Dussault', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': 'Marylène Dussault', 'email': 'support@ecoinvent.org'}}",
