reference_product_market,flow_type,name,supplier_reference_product,categories,unit,location,impact_score_market,n_sites,total_score_market,share_%
Ni concentrate,Biosphere (direct),"Carbon monoxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,0.014935300603092581,3,1.1627670657071596,1.2844619566180595
Ni concentrate,Biosphere (direct),Dinitrogen monoxide,,"('air',)",kilogram,,0.013123544244013421,3,1.1627670657071596,1.1286477430483535
Ni concentrate,Biosphere (direct),"Carbon dioxide, from soil or biomass stock",,"('air', 'low population density, long-term')",kilogram,,0.01113076175277618,3,1.1627670657071596,0.9572649657054733
Ni concentrate,Biosphere (direct),"Methane, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,0.0017831690284965105,3,1.1627670657071596,0.1533556531730662
Ni concentrate,Technosphere (first-tier),"market for steel, low-alloyed","steel, low-alloyed",,kilogram,GLO,0.46018130611257085,3,1.1627670657071596,39.5763966562557
Ni concentrate,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,0.07558537535377233,3,1.1627670657071596,6.500474392762715
Ni concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-QC,0.031139979893613556,2,1.1627670657071596,2.678092699045889
Ni concentrate,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,0.029405225357778276,3,1.1627670657071596,2.5289007768632414
Ni concentrate,Technosphere (first-tier),"market for natural gas, high pressure","natural gas, high pressure",,cubic meter,CA,0.027511984296489166,3,1.1627670657071596,2.3660787364799685
Ni concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-MB,0.011666672745126212,1,1.1627670657071596,1.0033542477427235
Ni concentrate,Technosphere (first-tier),market for lime,lime,,kilogram,RoW,0.009908239630142503,3,1.1627670657071596,0.8521259263665688
Ni concentrate,Technosphere (first-tier),market for liquefied petroleum gas,liquefied petroleum gas,,kilogram,RoW,0.006672194676890203,3,1.1627670657071596,0.5738204042468623
Ni concentrate,Technosphere (first-tier),"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",,kilogram,RoW,0.003978204480649627,3,1.1627670657071596,0.3421325386637266
Ni concentrate,Technosphere (first-tier),market for sulfuric acid,sulfuric acid,,kilogram,RoW,0.00044593458564379625,3,1.1627670657071596,0.03835115379472778
Ni concentrate,Technosphere (first-tier),"market for sulfidic tailings, from nickel mine operation","sulfidic tailings, from nickel mine operation",,kilogram,CA,0.0,3,1.1627670657071596,0.0
U concentrate,Biosphere (direct),"Carbon dioxide, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,5.927461128272097,2,21.26401778657104,27.875546323214106
U concentrate,Biosphere (direct),Dinitrogen monoxide,,"('air',)",kilogram,,0.18159861696561372,2,21.26401778657104,0.8540183646775329
U concentrate,Biosphere (direct),"Methane, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,0.15193640157912702,2,21.26401778657104,0.7145234880074268
U concentrate,Biosphere (direct),"Carbon monoxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,0.04078177801629715,1,21.26401778657104,0.19178773468696142
U concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-SK,13.530488810009434,2,21.26401778657104,63.63091371450227
U concentrate,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,1.129262585217245,2,21.26401778657104,5.3106736297521975
U concentrate,Technosphere (first-tier),"market for natural gas, high pressure","natural gas, high pressure",,cubic meter,CA,0.19424421607069378,2,21.26401778657104,0.9134878366842116
U concentrate,Technosphere (first-tier),market for liquefied petroleum gas,liquefied petroleum gas,,kilogram,RoW,0.08739412661840484,2,21.26401778657104,0.4109953607807705
U concentrate,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,0.018318117910767626,2,21.26401778657104,0.08614608064491062
U concentrate,Technosphere (first-tier),"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",,kilogram,RoW,0.0016554657640149473,2,21.26401778657104,0.007785291475162474
U concentrate,Technosphere (first-tier),"market for hydrogen peroxide, without water, in 50% solution state","hydrogen peroxide, without water, in 50% solution state",,kilogram,RoW,0.0005671657288083418,2,21.26401778657104,0.0026672557110374814
U concentrate,Technosphere (first-tier),market for lime,lime,,kilogram,RoW,0.0003093641562577821,2,21.26401778657104,0.0014548716021727383
U concentrate,Technosphere (first-tier),"market for sulfidic tailings, from copper mine operation","sulfidic tailings, from copper mine operation",,kilogram,CA,0.0,2,21.26401778657104,0.0
Zn concentrate,Biosphere (direct),"Carbon dioxide, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,0.07821270967120166,3,0.39723503138228344,19.689278007289545
Zn concentrate,Biosphere (direct),"Carbon dioxide, from soil or biomass stock",,"('air', 'low population density, long-term')",kilogram,,0.00976109519221928,2,0.39723503138228344,2.4572594109469628
Zn concentrate,Biosphere (direct),Dinitrogen monoxide,,"('air',)",kilogram,,0.0019908471318678764,3,0.39723503138228344,0.5011761236012348
Zn concentrate,Biosphere (direct),"Carbon monoxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,0.0011347874841558564,2,0.39723503138228344,0.28567155323815874
Zn concentrate,Biosphere (direct),"Methane, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,0.00010169740217415245,3,0.39723503138228344,0.025601317643177055
Zn concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-MB,0.24090594464949758,1,0.39723503138228344,60.645694769467376
Zn concentrate,Technosphere (first-tier),"market for explosive, tovex","explosive, tovex",,kilogram,GLO,0.018251256839862923,3,0.39723503138228344,4.594573841172288
Zn concentrate,Technosphere (first-tier),"market for steel, low-alloyed","steel, low-alloyed",,kilogram,GLO,0.013224610403444838,3,0.39723503138228344,3.3291651940732265
Zn concentrate,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,0.00952624148114117,2,0.39723503138228344,2.3981373062673037
Zn concentrate,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,0.008626743265235774,3,0.39723503138228344,2.1716975049297034
Zn concentrate,Technosphere (first-tier),market for sodium cyanide,sodium cyanide,,kilogram,RoW,0.005308809651322611,2,0.39723503138228344,1.336440452607922
Zn concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-QC,0.00467015452732437,1,0.39723503138228344,1.1756653261605208
Zn concentrate,Technosphere (first-tier),"market for natural gas, high pressure","natural gas, high pressure",,cubic meter,CA,0.0018667322294127037,2,0.39723503138228344,0.46993142143504296
Zn concentrate,Technosphere (first-tier),market for polyacrylamide,polyacrylamide,,kilogram,GLO,0.0013586949453962072,3,0.39723503138228344,0.34203804751768035
Zn concentrate,Technosphere (first-tier),market for propane,propane,,kilogram,GLO,0.0006051372250621259,1,0.39723503138228344,0.15233732608032888
Zn concentrate,Technosphere (first-tier),market for lime,lime,,kilogram,RoW,0.0004360476509079911,3,0.39723503138228344,0.10977069403739367
Zn concentrate,Technosphere (first-tier),"market for sulfur dioxide, liquid","sulfur dioxide, liquid",,kilogram,RoW,0.0004112071277866084,2,0.39723503138228344,0.10351733742004209
Zn concentrate,Technosphere (first-tier),"market for activated carbon, granular","activated carbon, granular",,kilogram,GLO,0.0003307465973245717,2,0.39723503138228344,0.08326219270582763
Zn concentrate,Technosphere (first-tier),"market for chemical, organic","chemical, organic",,kilogram,GLO,0.00011895332888372747,1,0.39723503138228344,0.029945326944050773
Zn concentrate,Technosphere (first-tier),market for liquefied petroleum gas,liquefied petroleum gas,,kilogram,RoW,0.00011821866032522691,1,0.39723503138228344,0.02976038138274313
Zn concentrate,Technosphere (first-tier),"market for hydrochloric acid, without water, in 30% solution state","hydrochloric acid, without water, in 30% solution state",,kilogram,RoW,0.00011077160781926825,2,0.39723503138228344,0.027885659387544295
Zn concentrate,Technosphere (first-tier),market for sodium bicarbonate,sodium bicarbonate,,kilogram,RoW,0.00010046105537707569,3,0.39723503138228344,0.025290079534902827
Zn concentrate,Technosphere (first-tier),market for light fuel oil,light fuel oil,,kilogram,RoW,6.316722437606803e-05,1,0.39723503138228344,0.015901725524121352
Zn concentrate,Technosphere (first-tier),"market for sulfidic tailings, from copper mine operation","sulfidic tailings, from copper mine operation",,kilogram,CA,0.0,1,0.39723503138228344,0.0
Zn concentrate,Technosphere (first-tier),"market for sulfidic tailings, from gold mine operation","sulfidic tailings, from gold mine operation",,kilogram,CA,0.0,2,0.39723503138228344,0.0
