"REF_DATE","GEO","DGUID","Products","Variables","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Gold, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417368","1.12.4","","x","","","0"
"2019","Canada","2016A000011124","Gold, recoverable (kilograms)","Quantity produced","Kilograms","192","units","0","v1277417385","1.13.1","191716","","","","0"
"2019","Canada","2016A000011124","Gold, recoverable (kilograms)","Quantity shipped","Kilograms","192","units","0","v1277417386","1.13.2","188438","","","","0"
"2019","Canada","2016A000011124","Gold, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417411","1.14.4","11370535","","","","0"
"2019","Canada","2016A000011124","Ilmenite, concentrates (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417428","1.15.1","","x","","","0"
"2019","Canada","2016A000011124","Ilmenite, concentrates (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417429","1.15.2","","x","","","0"
"2019","Canada","2016A000011124","Ilmenite, concentrates (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417430","1.15.3","","x","","","0"
"2019","Canada","2016A000011124","Ilmenite, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417439","1.16.4","","x","","","0"
"2019","Canada","2016A000011124","Ilmenite, recoverable (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417440","1.17.1","0","","","","0"
"2019","Canada","2016A000011124","Ilmenite, recoverable (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417441","1.17.2","0","","","","0"
"2019","Canada","2016A000011124","Ilmenite, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417442","1.18.4","","..","","","0"
"2019","Canada","2016A000011124","Iron, agglomerates (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417443","1.19.1","19665690","","","","0"
"2019","Canada","2016A000011124","Iron, agglomerates (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417444","1.19.2","19172903","","","","0"
"2019","Canada","2016A000011124","Iron, agglomerates (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417445","1.19.3","","x","","","0"
"2019","Canada","2016A000011124","Iron, agglomerates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417447","1.20.4","2865658","","","","0"
"2019","Canada","2016A000011124","Iron, concentrates (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417448","1.21.1","46794745","","","","0"
"2019","Canada","2016A000011124","Iron, concentrates (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417449","1.21.2","35722504","","","","0"
"2019","Canada","2016A000011124","Iron, concentrates (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417450","1.21.3","5652296","","","","0"
"2019","Canada","2016A000011124","Iron, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417451","1.22.4","3579753","","","","0"
"2019","Canada","2016A000011124","Iron, remelt (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417452","1.23.1","","x","","","0"
"2019","Canada","2016A000011124","Iron, remelt (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417453","1.23.2","","x","","","0"
"2019","Canada","2016A000011124","Iron, remelt (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417454","1.24.4","","x","","","0"
"2019","Canada","2016A000011124","Lead, concentrates (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417455","1.25.1","","x","","","0"
"2019","Canada","2016A000011124","Lead, concentrates (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417456","1.25.2","","x","","","0"
"2019","Canada","2016A000011124","Lead, concentrates (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417457","1.25.3","1071","","","","0"
"2019","Canada","2016A000011124","Lead, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417458","1.26.4","","x","","","0"
"2019","Canada","2016A000011124","Lead, recoverable (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417459","1.27.1","","x","","","0"
"2019","Canada","2016A000011124","Lead, recoverable (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417460","1.27.2","","x","","","0"
"2019","Canada","2016A000011124","Lead, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417461","1.28.4","","x","","","0"
"2019","Canada","2016A000011124","Lithium, recoverable (kilograms)","Quantity produced","Kilograms","192","units","0","v1277417462","1.29.1","0","","","","0"
"2019","Canada","2016A000011124","Lithium, recoverable (kilograms)","Quantity shipped","Kilograms","192","units","0","v1277417463","1.29.2","0","","","","0"
"2019","Canada","2016A000011124","Lithium, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417466","1.30.4","0","","","","0"
"2019","Canada","2016A000011124","Molybdenum, concentrates (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417467","1.31.1","8491","","","","0"
"2019","Canada","2016A000011124","Molybdenum, concentrates (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417468","1.31.2","8589","","","","0"
"2019","Canada","2016A000011124","Molybdenum, concentrates (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417469","1.31.3","","x","","","0"
"2019","Canada","2016A000011124","Molybdenum, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417470","1.32.4","142908","","","","0"
"2019","Canada","2016A000011124","Molybdenum, recoverable (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417471","1.33.1","4385","","","","0"
"2019","Canada","2016A000011124","Molybdenum, recoverable (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417472","1.33.2","4367","","","","0"
"2019","Canada","2016A000011124","Molybdenum, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417473","1.34.4","142908","","","","0"
"2019","Canada","2016A000011124","Nickel, concentrates (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417474","1.35.1","1406465","","","","0"
"2019","Canada","2016A000011124","Nickel, concentrates (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417475","1.35.2","1400999","","","","0"
"2019","Canada","2016A000011124","Nickel, concentrates (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417476","1.35.3","49731","","","","0"
"2019","Canada","2016A000011124","Nickel, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417477","1.36.4","5659273","","","","0"
"2019","Canada","2016A000011124","Nickel, recoverable (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417478","1.37.1","176021","","","","0"
"2019","Canada","2016A000011124","Nickel, recoverable (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417479","1.37.2","172743","","","","0"
"2019","Canada","2016A000011124","Nickel, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417480","1.38.4","3288404","","","","0"
"2019","Canada","2016A000011124","Niobium, concentrates (kilograms)","Quantity produced","Kilograms","192","units","0","v1277417481","1.39.1","","x","","","0"
"2019","Canada","2016A000011124","Niobium, concentrates (kilograms)","Quantity shipped","Kilograms","192","units","0","v1277417482","1.39.2","","x","","","0"
"2019","Canada","2016A000011124","Niobium, concentrates (kilograms)","Closing inventories","Kilograms","192","units","0","v1277417483","1.39.3","","x","","","0"
"2019","Canada","2016A000011124","Niobium, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417485","1.40.4","","x","","","0"
"2019","Canada","2016A000011124","Niobium, recoverable (kilograms)","Quantity produced","Kilograms","192","units","0","v1277417486","1.41.1","","x","","","0"
"2019","Canada","2016A000011124","Niobium, recoverable (kilograms)","Quantity shipped","Kilograms","192","units","0","v1277417487","1.41.2","","x","","","0"
"2019","Canada","2016A000011124","Niobium, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417488","1.42.4","","x","","","0"
"2019","Canada","2016A000011124","Palladium, concentrates (kilograms)","Quantity produced","Kilograms","192","units","0","v1277417489","1.43.1","37382000","","","","0"
"2019","Canada","2016A000011124","Palladium, concentrates (kilograms)","Quantity shipped","Kilograms","192","units","0","v1277417490","1.43.2","36279000","","","","0"
"2019","Canada","2016A000011124","Palladium, concentrates (kilograms)","Closing inventories","Kilograms","192","units","0","v1277417491","1.43.3","","x","","","0"
"2019","Canada","2016A000011124","Palladium, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417492","1.44.4","558614","","","","0"
"2019","Canada","2016A000011124","Platinum group, recoverable (grams)","Quantity produced","Grams","147","units","0","v1277417493","1.45.1","32311468","","","","0"
"2019","Canada","2016A000011124","Platinum group, recoverable (grams)","Quantity shipped","Grams","147","units","0","v1277417494","1.45.2","32566458","","","","0"
"2019","Canada","2016A000011124","Iridium, recoverable (grams)","Quantity produced","Grams","147","units","0","v1277417495","1.46.1","","x","","","0"
"2019","Canada","2016A000011124","Iridium, recoverable (grams)","Quantity shipped","Grams","147","units","0","v1277417496","1.46.2","","x","","","0"
"2019","Canada","2016A000011124","Palladium, recoverable (grams)","Quantity produced","Grams","147","units","0","v1277417497","1.47.1","21928279","","","","0"
"2019","Canada","2016A000011124","Palladium, recoverable (grams)","Quantity shipped","Grams","147","units","0","v1277417498","1.47.2","22076964","","","","0"
"2019","Canada","2016A000011124","Platinum, recoverable (grams)","Quantity produced","Grams","147","units","0","v1277417499","1.48.1","","x","","","0"
"2019","Canada","2016A000011124","Platinum, recoverable (grams)","Quantity shipped","Grams","147","units","0","v1277417500","1.48.2","","x","","","0"
"2019","Canada","2016A000011124","Rhodium, recoverable (grams)","Quantity produced","Grams","147","units","0","v1277417501","1.49.1","","x","","","0"
"2019","Canada","2016A000011124","Rhodium, recoverable (grams)","Quantity shipped","Grams","147","units","0","v1277417502","1.49.2","","x","","","0"
"2019","Canada","2016A000011124","Ruthenium, recoverable (grams)","Quantity produced","Grams","147","units","0","v1277417506","1.50.1","","x","","","0"
"2019","Canada","2016A000011124","Ruthenium, recoverable (grams)","Quantity shipped","Grams","147","units","0","v1277417507","1.50.2","","x","","","0"
"2019","Canada","2016A000011124","Platinum group, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417508","1.51.4","1946378","","","","0"
"2019","Canada","2016A000011124","Iridium, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417509","1.52.4","","x","","","0"
"2019","Canada","2016A000011124","Palladium, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417510","1.53.4","1455047","","","","0"
"2019","Canada","2016A000011124","Platinum, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417511","1.54.4","","x","","","0"
"2019","Canada","2016A000011124","Rhodium, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417512","1.55.4","","x","","","0"
"2019","Canada","2016A000011124","Ruthenium, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417513","1.56.4","","x","","","0"
"2019","Canada","2016A000011124","Silver, concentrates (kilograms)","Quantity produced","Kilograms","192","units","0","v1277417514","1.57.1","0","","","","0"
"2019","Canada","2016A000011124","Silver, concentrates (kilograms)","Quantity shipped","Kilograms","192","units","0","v1277417515","1.57.2","0","","","","0"
"2019","Canada","2016A000011124","Silver, concentrates (kilograms)","Closing inventories","Kilograms","192","units","0","v1277417516","1.57.3","0","","","","0"
"2019","Canada","2016A000011124","Silver, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417517","1.58.4","0","","","","0"
"2019","Canada","2016A000011124","Silver, recoverable (kilograms)","Quantity produced","Kilograms","192","units","0","v1277417518","1.59.1","399359","","","","0"
"2019","Canada","2016A000011124","Silver, recoverable (kilograms)","Quantity shipped","Kilograms","192","units","0","v1277417519","1.59.2","380117","","","","0"
"2019","Canada","2016A000011124","Silver, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417521","1.60.4","258714","","","","0"
"2019","Canada","2016A000011124","Spodumene, concentrates (kilograms)","Quantity produced","Kilograms","192","units","0","v1277417522","1.61.1","0","","","","0"
"2019","Canada","2016A000011124","Spodumene, concentrates (kilograms)","Quantity shipped","Kilograms","192","units","0","v1277417523","1.61.2","0","","","","0"
"2019","Canada","2016A000011124","Spodumene, concentrates (kilograms)","Closing inventories","Kilograms","192","units","0","v1277417524","1.61.3","0","","","","0"
"2019","Canada","2016A000011124","Spodumene, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417525","1.62.4","0","","","","0"
"2019","Canada","2016A000011124","Tantalum, concentrates (kilograms)","Quantity produced","Kilograms","192","units","0","v1277417526","1.63.1","0","","","","0"
"2019","Canada","2016A000011124","Tantalum, concentrates (kilograms)","Quantity shipped","Kilograms","192","units","0","v1277417527","1.63.2","0","","","","0"
"2019","Canada","2016A000011124","Tantalum, concentrates (kilograms)","Closing inventories","Kilograms","192","units","0","v1277417528","1.63.3","0","","","","0"
"2019","Canada","2016A000011124","Tantalum, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417529","1.64.4","0","","","","0"
"2019","Canada","2016A000011124","Titanium dioxide, recoverable (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417530","1.65.1","","x","","","0"
"2019","Canada","2016A000011124","Titanium dioxide, recoverable (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417531","1.65.2","","x","","","0"
"2019","Canada","2016A000011124","Titanium dioxide, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417532","1.66.4","","x","","","0"
"2019","Canada","2016A000011124","Uranium, concentrates (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417533","1.67.1","8228","","","","0"
"2019","Canada","2016A000011124","Uranium, concentrates (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417534","1.67.2","8250","","","","0"
"2019","Canada","2016A000011124","Uranium, concentrates (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417535","1.67.3","","x","","","0"
"2019","Canada","2016A000011124","Uranium, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417536","1.68.4","524781","","","","0"
"2019","Canada","2016A000011124","Uranium, recoverable (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417537","1.69.1","6979","","","","0"
"2019","Canada","2016A000011124","Uranium, recoverable (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417538","1.69.2","6997","","","","0"
"2019","Canada","2016A000011124","Uranium, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417541","1.70.4","524781","","","","0"
"2019","Canada","2016A000011124","Zinc, concentrates (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417542","1.71.1","598868","","","","0"
"2019","Canada","2016A000011124","Zinc, concentrates (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417543","1.71.2","592656","","","","0"
"2019","Canada","2016A000011124","Zinc, concentrates (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417544","1.71.3","39220","","","","0"
"2019","Canada","2016A000011124","Zinc, concentrates (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417545","1.72.4","1031684","","","","0"
"2019","Canada","2016A000011124","Zinc, recoverable (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417546","1.73.1","269353","","","","0"
"2019","Canada","2016A000011124","Zinc, recoverable (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417547","1.73.2","263941","","","","0"
"2019","Canada","2016A000011124","Zinc, recoverable (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417548","1.74.4","840313","","","","0"
"2019","Canada","2016A000011124","Non-metals (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417549","1.75.4","9841787","","","","0"
"2019","Canada","2016A000011124","Barite (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417550","1.76.1","","x","","","0"
"2019","Canada","2016A000011124","Barite (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417551","1.76.2","","x","","","0"
"2019","Canada","2016A000011124","Barite (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417552","1.76.3","","x","","","0"
"2019","Canada","2016A000011124","Barite (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417553","1.77.4","","x","","","0"
"2019","Canada","2016A000011124","Diamonds (carats)","Quantity produced","Carats","399","units","0","v1277417554","1.78.1","18354635","","","","0"
"2019","Canada","2016A000011124","Diamonds (carats)","Quantity shipped","Carats","399","units","0","v1277417555","1.78.2","18363122","","","","0"
"2019","Canada","2016A000011124","Diamonds (carats)","Closing inventories","Carats","399","units","0","v1277417556","1.78.3","2410103","","","","0"
"2019","Canada","2016A000011124","Diamonds (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417557","1.79.4","2301989","","","","0"
"2019","Canada","2016A000011124","Gemstones (kilograms)","Quantity produced","Kilograms","192","units","0","v1277417567","1.84.1","63255","","","","0"
"2019","Canada","2016A000011124","Gemstones (kilograms)","Quantity shipped","Kilograms","192","units","0","v1277417568","1.84.2","63574","","","","0"
"2019","Canada","2016A000011124","Gemstones (kilograms)","Closing inventories","Kilograms","192","units","0","v1277417569","1.84.3","32974","","","","0"
"2019","Canada","2016A000011124","Gemstones (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417570","1.85.4","1746","","","","0"
"2019","Canada","2016A000011124","Graphite (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417571","1.86.1","4332","","","","0"
"2019","Canada","2016A000011124","Graphite (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417572","1.86.2","11045","","","","0"
"2019","Canada","2016A000011124","Graphite (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417573","1.86.3","","x","","","0"
"2019","Canada","2016A000011124","Graphite (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417574","1.87.4","","x","","","0"
"2019","Canada","2016A000011124","Gypsum (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417575","1.88.1","2445062","","","","0"
"2019","Canada","2016A000011124","Gypsum (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417576","1.88.2","2451903","","","","0"
"2019","Canada","2016A000011124","Gypsum (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417577","1.88.3","194650","","","","0"
"2019","Canada","2016A000011124","Gypsum (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417578","1.89.4","38361","","","","0"
"2019","Canada","2016A000011124","Gypsum anhydrite (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417582","1.90.1","0","","","","0"
"2019","Canada","2016A000011124","Gypsum anhydrite (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417583","1.90.2","0","","","","0"
"2019","Canada","2016A000011124","Gypsum anhydrite (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417584","1.90.3","0","","","","0"
"2019","Canada","2016A000011124","Gypsum anhydrite (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417585","1.91.4","0","","","","0"
"2019","Canada","2016A000011124","Marl (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417322","1.100.1","0","","","","0"
"2019","Canada","2016A000011124","Marl (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417323","1.100.2","0","","","","0"
"2019","Canada","2016A000011124","Marl (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417324","1.100.3","0","","","","0"
"2019","Canada","2016A000011124","Marl (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417325","1.101.4","0","","","","0"
"2019","Canada","2016A000011124","Mica (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417326","1.102.1","","x","","","0"
"2019","Canada","2016A000011124","Mica (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417327","1.102.2","","x","","","0"
"2019","Canada","2016A000011124","Mica (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417328","1.102.3","","x","","","0"
"2019","Canada","2016A000011124","Mica (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417329","1.103.4","","x","","","0"
"2019","Canada","2016A000011124","Peat (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417334","1.106.1","1183803","","","","0"
"2019","Canada","2016A000011124","Peat (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417335","1.106.2","1565002","","","","0"
"2019","Canada","2016A000011124","Peat (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417336","1.106.3","1050199","","","","0"
"2019","Canada","2016A000011124","Peat (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417337","1.107.4","372648","","","","0"
"2019","Canada","2016A000011124","Potash, muriate of potash (MOP) (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417344","1.110.1","20928973","","","","0"
"2019","Canada","2016A000011124","Potash, muriate of potash (MOP) (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417345","1.110.2","20716978","","","","0"
"2019","Canada","2016A000011124","Potash, muriate of potash (MOP) (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417346","1.110.3","1851598","","","","0"
"2019","Canada","2016A000011124","Potash, potassium oxide (K2O) (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417338","1.108.1","12820345","","","","0"
"2019","Canada","2016A000011124","Potash, potassium oxide (K2O) (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417339","1.108.2","12685799","","","","0"
"2019","Canada","2016A000011124","Potash, potassium oxide (K2O) (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417340","1.108.3","1134672","","","","0"
"2019","Canada","2016A000011124","Potash, muriate of potash (MOP) (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417347","1.111.4","6422081","","","","0"
"2019","Canada","2016A000011124","Potassium sulphate (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417348","1.112.1","","x","","","0"
"2019","Canada","2016A000011124","Potassium sulphate (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417349","1.112.2","","x","","","0"
"2019","Canada","2016A000011124","Potassium sulphate (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417350","1.112.3","","x","","","0"
"2019","Canada","2016A000011124","Potassium sulphate (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417351","1.113.4","","x","","","0"
"2019","Canada","2016A000011124","Pumice (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417352","1.114.1","","x","","","0"
"2019","Canada","2016A000011124","Pumice (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417353","1.114.2","","x","","","0"
"2019","Canada","2016A000011124","Pumice (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417354","1.114.3","","x","","","0"
"2019","Canada","2016A000011124","Pumice (Thousands of dollars)","Value of shipments","Thousands of dollars","284","units","0","v1277417355","1.115.4","","x","","","0"
"2019","Canada","2016A000011124","Salt (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417356","1.116.1","11911268","","","","0"
"2019","Canada","2016A000011124","Salt (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417357","1.116.2","11797841","","","","0"
"2019","Canada","2016A000011124","Salt (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417358","1.116.3","569355","","","","0"
"2019","Canada","2016A000011124","Salt, fine vaccum (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417359","1.117.1","","x","","","0"
"2019","Canada","2016A000011124","Salt, fine vaccum (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417360","1.117.2","","x","","","0"
"2019","Canada","2016A000011124","Salt, fine vaccum (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417361","1.117.3","","x","","","0"
"2019","Canada","2016A000011124","Salt, in brine (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417362","1.118.1","","x","","","0"
"2019","Canada","2016A000011124","Salt, in brine (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417363","1.118.2","","x","","","0"
"2019","Canada","2016A000011124","Salt, in brine (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417364","1.118.3","","x","","","0"
"2019","Canada","2016A000011124","Salt, rock (tonnes)","Quantity produced","Tonnes","287","units","0","v1277417365","1.119.1","10971834","","","","0"
"2019","Canada","2016A000011124","Salt, rock (tonnes)","Quantity shipped","Tonnes","287","units","0","v1277417366","1.119.2","10857677","","","","0"
"2019","Canada","2016A000011124","Salt, rock (tonnes)","Closing inventories","Tonnes","287","units","0","v1277417367","1.119.3","","x","","","0"
