Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Location / Emplacement de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility Postal Code / Code postal de l'installation,Latitude,Longitude,Facility NPRI ID / Numéro d'identification de l'INRP,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,French Facility NAICS Code Description / Description du code SCIAN de l'installation en français,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Reporting Company Trade Name / Nom commercial de la société déclarante,Reporting Company CRA Business Number / Numéro d'entreprise ARC de la société déclarante,Reporting Company DUNS Number / Numéro DUNS de la société déclarante,Public Contact Name / Nom du responsable des renseignements au public,Public Contact Position / Poste ou Titre du responsable des renseignements au public,Public Contact Telephone / Numéro de téléphone du responsable des renseignements au public,Public Contact Extension / Poste téléphonique du responsable des renseignements au public,Public Contact Email / Adresse électronique du responsable des renseignements au public,Public Contact Mailing Address / Adresse postale du responsable des renseignements au public,Public Contact City or District or Municipality / Ville ou District ou Municipalité du responsable des renseignements au public,Public Contact Province or Territory / Province ou Territoire du responsable des renseignements au public,Public Contact Postal Code / Code postal du responsable des renseignement au public,Emission Source / Source d'emission,CO2 (tonnes),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),HFC-23 (tonnes),HFC-23 (tonnes CO2e / tonnes éq. CO2),HFC-32 (tonnes),HFC-32 (tonnes CO2e / tonnes éq. CO2),HFC-41 (tonnes),HFC-41 (tonnes CO2e / tonnes éq. CO2),HFC-43-10mee (tonnes),HFC-43-10mee (tonnes CO2e / tonnes éq. CO2),HFC-125 (tonnes),HFC-125 (tonnes CO2e / tonnes éq. CO2),HFC-134 (tonnes),HFC-134 (tonnes CO2e / tonnes éq. CO2),HFC-134a (tonnes),HFC-134a (tonnes CO2e / tonnes éq. CO2),HFC-143 (tonnes),HFC-143 (tonnes CO2e / tonnes éq. CO2),HFC-143a (tonnes),HFC-143a (tonnes CO2e / tonnes éq. CO2),HFC-152a (tonnes),HFC-152a (tonnes CO2e / tonnes éq. CO2),HFC-227ea (tonnes),HFC-227ea (tonnes CO2e / tonnes éq. CO2),HFC-236fa (tonnes),HFC-236fa (tonnes CO2e / tonnes éq. CO2),HFC-245ca (tonnes),HFC-245ca (tonnes CO2e / tonnes éq. CO2),HFC Total (tonnes CO2e / tonnes éq. CO2),CF4 (tonnes),CF4 (tonnes CO2e / tonnes éq. CO2),C2F6 (tonnes),C2F6 (tonnes CO2e / tonnes éq. CO2),C3F8 (tonnes),C3F8 (tonnes CO2e / tonnes éq. CO2),C4F10 (tonnes),C4F10 (tonnes CO2e / tonnes éq. CO2),C4F8 (tonnes),C4F8 (tonnes CO2e / tonnes éq. CO2),C5F12 (tonnes),C5F12 (tonnes CO2e / tonnes éq. CO2),C6F14 (tonnes),C6F14 (tonnes CO2e / tonnes éq. CO2),PFC Total (tonnes CO2e / tonnes éq. CO2),SF6 (tonnes),SF6 (tonnes CO2e / tonnes éq. CO2),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2),GHGRP Quantification Requirements / Exigences de quantification du PDGES,Emission Factors / Coefficients d'émission,Engineering Estimates / Estimations techniques,Mass Balance / Bilan massique,Monitoring or Direct Measurement / Surveillance ou mesure directe
G10006,2023,Redwater Fertilizer Operations,56225 SH643,Sturgeon County,Alberta,T0A 2W0,53.842,-113.093,2134,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Nutrien (Canada) Holdings ULC,Nutrien,134436260,0,Quinton Thiessen,"Advisor, Environment",7809985895,,quinton.thiessen@nutrien.com,56225 643 Highway,Redwater,Alberta,T0A 2W0,Industrial Processes / Procédés industriels,255574.2,0,0,11.462,3037.43,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,258611.63,1079936.645,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet
G10006,2023,Redwater Fertilizer Operations,56225 SH643,Sturgeon County,Alberta,T0A 2W0,53.842,-113.093,2134,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Nutrien (Canada) Holdings ULC,Nutrien,134436260,0,Quinton Thiessen,"Advisor, Environment",7809985895,,quinton.thiessen@nutrien.com,56225 643 Highway,Redwater,Alberta,T0A 2W0,On-site Transportation / Transport sur le site,3576.613,0.195451,5.472628,0.304311,80.642415,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,3662.728043,1079936.645,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10006,2023,Redwater Fertilizer Operations,56225 SH643,Sturgeon County,Alberta,T0A 2W0,53.842,-113.093,2134,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Nutrien (Canada) Holdings ULC,Nutrien,134436260,0,Quinton Thiessen,"Advisor, Environment",7809985895,,quinton.thiessen@nutrien.com,56225 643 Highway,Redwater,Alberta,T0A 2W0,Venting / Évacuation,13965.31,2003.58,56100.24,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,70065.55,1079936.645,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10006,2023,Redwater Fertilizer Operations,56225 SH643,Sturgeon County,Alberta,T0A 2W0,53.842,-113.093,2134,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Nutrien (Canada) Holdings ULC,Nutrien,134436260,0,Quinton Thiessen,"Advisor, Environment",7809985895,,quinton.thiessen@nutrien.com,56225 643 Highway,Redwater,Alberta,T0A 2W0,Wastewater / Eaux usées,0,6.57,183.96,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,183.96,1079936.645,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10007,2023,Alberta Envirofuels,9511 17 Street Northwest,Edmonton,Alberta,T6P 1Y3,53.53199,-113.36492,3974,325110,Petrochemical Manufacturing,Fabrication de produits pétrochimiques,Keyera Corp,Keyera Corp,878885227,0,Surbhi Bhargava,"Manager , Air Emissions",5874968227,,Surbhi_Bhargava@keyera.com,144 4th Avenue Southwest,Calgary,Alberta,T2P 3N4,Flaring / Torchage,1896.0167,7.07744,198.16832,0.02339,6.19835,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,2100.38337,345481.4954,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10007,2023,Alberta Envirofuels,9511 17 Street Northwest,Edmonton,Alberta,T6P 1Y3,53.53199,-113.36492,3974,325110,Petrochemical Manufacturing,Fabrication de produits pétrochimiques,Keyera Corp,Keyera Corp,878885227,0,Surbhi Bhargava,"Manager , Air Emissions",5874968227,,Surbhi_Bhargava@keyera.com,144 4th Avenue Southwest,Calgary,Alberta,T2P 3N4,Leakage / Fuites,459.699,1.226,34.328,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,494.027,345481.4954,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable
G10007,2023,Alberta Envirofuels,9511 17 Street Northwest,Edmonton,Alberta,T6P 1Y3,53.53199,-113.36492,3974,325110,Petrochemical Manufacturing,Fabrication de produits pétrochimiques,Keyera Corp,Keyera Corp,878885227,0,Surbhi Bhargava,"Manager , Air Emissions",5874968227,,Surbhi_Bhargava@keyera.com,144 4th Avenue Southwest,Calgary,Alberta,T2P 3N4,Stationary Fuel Combustion / Combustion stationnaire de combustibles,340917.3198,7.35811,206.02708,6.56471,1739.64815,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,342862.995,345481.4954,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10007,2023,Alberta Envirofuels,9511 17 Street Northwest,Edmonton,Alberta,T6P 1Y3,53.53199,-113.36492,3974,325110,Petrochemical Manufacturing,Fabrication de produits pétrochimiques,Keyera Corp,Keyera Corp,878885227,0,Surbhi Bhargava,"Manager , Air Emissions",5874968227,,Surbhi_Bhargava@keyera.com,144 4th Avenue Southwest,Calgary,Alberta,T2P 3N4,On-site Transportation / Transport sur le site,23.504,0.002,0.056,0.002,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,24.09,345481.4954,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10008,2023,Alliance Pipeline Ltd. - AB Pipeline System,200 425 1st Street Southwest,CALGARY,Alberta,T2P 3L8,,0,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Alliance Pipeline Ltd. Partnership,Alliance Pipeline,897395232,256850595,Edwin Makkinga,Technical Manager Climate Policy,4036143684,,edwin.makkinga@enbridge.com,420 1 Street Southwest,Calgary,Alberta,T2P 3L8,Leakage / Fuites,1.130104,97.904289,2741.320092,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,2742.450196,542567.7847,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable
G10008,2023,Alliance Pipeline Ltd. - AB Pipeline System,200 425 1st Street Southwest,CALGARY,Alberta,T2P 3L8,,0,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Alliance Pipeline Ltd. Partnership,Alliance Pipeline,897395232,256850595,Edwin Makkinga,Technical Manager Climate Policy,4036143684,,edwin.makkinga@enbridge.com,420 1 Street Southwest,Calgary,Alberta,T2P 3L8,Stationary Fuel Combustion / Combustion stationnaire de combustibles,522099.4791,42.179332,1181.021296,10.842515,2873.266475,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,526153.7668,542567.7847,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable
G10008,2023,Alliance Pipeline Ltd. - AB Pipeline System,200 425 1st Street Southwest,CALGARY,Alberta,T2P 3L8,,0,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Alliance Pipeline Ltd. Partnership,Alliance Pipeline,897395232,256850595,Edwin Makkinga,Technical Manager Climate Policy,4036143684,,edwin.makkinga@enbridge.com,420 1 Street Southwest,Calgary,Alberta,T2P 3L8,Venting / Évacuation,4.265198,488.117944,13667.30243,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,13671.56763,542567.7847,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10009,2023,Alberta-Pacific Forest Industries Inc.,,COUNTY OF ATHABASCA,Alberta,T0A 0M0,54.92312,-112.86187,1,322112,Chemical Pulp Mills,Usines de pâte chimique,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,871079992,0,Ashley Mathiot,Environmental Specialist,7805258148,,Ashley.Mathiot@alpac.ca,,BOYLE,Alberta,T0A 0M0,Stationary Fuel Combustion / Combustion stationnaire de combustibles,151900.92,60.7181,1700.1068,28.8353,7641.3545,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,161242.3813,169586.0863,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10009,2023,Alberta-Pacific Forest Industries Inc.,,COUNTY OF ATHABASCA,Alberta,T0A 0M0,54.92312,-112.86187,1,322112,Chemical Pulp Mills,Usines de pâte chimique,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,871079992,0,Ashley Mathiot,Environmental Specialist,7805258148,,Ashley.Mathiot@alpac.ca,,BOYLE,Alberta,T0A 0M0,Industrial Processes / Procédés industriels,0,,0,,0,,,0.0088,5.9576,,,,,0.0132,41.844,,,0.0054,7.02,,,,,,,,,,,,,54.8216,,,,,,,,,,,,,,,0,,0,54.8216,169586.0863,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable
G10009,2023,Alberta-Pacific Forest Industries Inc.,,COUNTY OF ATHABASCA,Alberta,T0A 0M0,54.92312,-112.86187,1,322112,Chemical Pulp Mills,Usines de pâte chimique,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,871079992,0,Ashley Mathiot,Environmental Specialist,7805258148,,Ashley.Mathiot@alpac.ca,,BOYLE,Alberta,T0A 0M0,On-site Transportation / Transport sur le site,4329.693,0.2073,5.8044,0.3204,84.906,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,4420.4034,169586.0863,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10009,2023,Alberta-Pacific Forest Industries Inc.,,COUNTY OF ATHABASCA,Alberta,T0A 0M0,54.92312,-112.86187,1,322112,Chemical Pulp Mills,Usines de pâte chimique,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,871079992,0,Ashley Mathiot,Environmental Specialist,7805258148,,Ashley.Mathiot@alpac.ca,,BOYLE,Alberta,T0A 0M0,Waste / Déchets,0,138.16,3868.48,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,3868.48,169586.0863,Not applicable / Sans Objet,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet
G10010,2023,Rio Tinto Alcan Inc.,1 Smeltersite Road,Kitimat,British Columbia,V8C 2H2,54.00286,-128.69531,2788,331313,Primary Production of Alumina and Aluminum,Production primaire d'alumine et d'aluminium,Rio Tinto Alcan Inc,Rio Tinto,100119213,202097614,Meagen Grossmann,Environmental Advisor,2506398401,,meagen.grossmann@riotinto.com,1 Smeltersite Road Road,Kitimat,British Columbia,V8C 2H2,Stationary Fuel Combustion / Combustion stationnaire de combustibles,56847.628,1.12,31.36,1.001,265.265,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,57144.253,809153.2871,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10010,2023,Rio Tinto Alcan Inc.,1 Smeltersite Road,Kitimat,British Columbia,V8C 2H2,54.00286,-128.69531,2788,331313,Primary Production of Alumina and Aluminum,Production primaire d'alumine et d'aluminium,Rio Tinto Alcan Inc,Rio Tinto,100119213,202097614,Meagen Grossmann,Environmental Advisor,2506398401,,meagen.grossmann@riotinto.com,1 Smeltersite Road Road,Kitimat,British Columbia,V8C 2H2,Industrial Processes / Procédés industriels,647615,,0,,0,,,,,,,,,,,,,0.0816,106.08,,,,,,,,,,,,,106.08,12.02,79692.6,1.45,16095,,,,,,,,,,,95787.6,0.022,517,744025.68,809153.2871,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet
G10010,2023,Rio Tinto Alcan Inc.,1 Smeltersite Road,Kitimat,British Columbia,V8C 2H2,54.00286,-128.69531,2788,331313,Primary Production of Alumina and Aluminum,Production primaire d'alumine et d'aluminium,Rio Tinto Alcan Inc,Rio Tinto,100119213,202097614,Meagen Grossmann,Environmental Advisor,2506398401,,meagen.grossmann@riotinto.com,1 Smeltersite Road Road,Kitimat,British Columbia,V8C 2H2,On-site Transportation / Transport sur le site,7922,1.51687,42.47236,0.071252,18.88178,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,7983.35414,809153.2871,Not applicable / Sans Objet,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
G10011,2023,Algoma Steel Inc,105 West Street North,Sault Ste. Marie,Ontario,P6A 7B4,46.5217,-84.3637,1070,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing,Sidérurgie,Algoma Steel Inc.,Algoma Steel Inc.,768412926,0,,,,,,,,,,Flaring / Torchage,402.2,1.2,33.6,0.00322,0.8533,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,436.6533,4292166.215,Applicable,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet,Not applicable / Sans Objet
